,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,duplicate_discovery_data,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity
1778,Kepler-126 b,780.0,2.92 Earths,10.454,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1457/kepler-126-b/,Super Earth,2014,2.92 Earths,1.52 x Earth,0.099 AU,10.5 days,0.07
1779,Kepler-126 c,780.0,3.12 Earths,10.454,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1458/kepler-126-c/,Super Earth,2014,3.12 Earths,1.58 x Earth,0.162 AU,21.9 days,0.19
1780,Kepler-126 d,780.0,6.8 Earths,10.454,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1537/kepler-126-d/,Neptune-like,2014,6.8 Earths,0.223 x Jupiter,0.448 AU,100.3 days,0.02
1781,Kepler-1270 b,3927.0,11 Earths,13.285,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5398/kepler-1270-b/,Neptune-like,2016,11 Earths,0.296 x Jupiter,Unknown,6 days,0.0
1782,Kepler-1271 b,2887.0,2.79 Earths,13.868,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5399/kepler-1271-b/,Super Earth,2016,2.79 Earths,1.48 x Earth,Unknown,3 days,0.0
1783,Kepler-1272 b,2923.0,6.21 Earths,14.384,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2840/kepler-1272-b/,Neptune-like,2016,6.21 Earths,0.211 x Jupiter,Unknown,51.1 days,0.0
1784,Kepler-1273 b,4420.0,6.76 Earths,15.796,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5400/kepler-1273-b/,Neptune-like,2016,6.76 Earths,0.222 x Jupiter,Unknown,28.6 days,0.0
1785,Kepler-1274 b,1987.0,2.6 Earths,11.682,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5401/kepler-1274-b/,Super Earth,2016,2.6 Earths,1.42 x Earth,Unknown,7 days,0.0
1786,Kepler-1275 b,4175.0,2.79 Earths,14.406,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4410/kepler-1275-b/,Super Earth,2016,2.79 Earths,1.48 x Earth,Unknown,3.7 days,0.0
1787,Kepler-1276 b,1915.0,1.81 Earths,12.848,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4411/kepler-1276-b/,Super Earth,2016,1.81 Earths,1.19 x Earth,Unknown,12.6 days,0.0
1788,Kepler-1277 b,1977.0,3.19 Earths,14.093,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4412/kepler-1277-b/,Super Earth,2016,3.19 Earths,1.6 x Earth,Unknown,40.8 days,0.0
1789,Kepler-1278 b,2424.0,1.01 Earths,13.632,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4413/kepler-1278-b/,Super Earth,2016,1.01 Earths,1.01 x Earth,Unknown,3.2 days,0.0
1790,Kepler-1279 b,3317.0,3.71 Earths,13.932,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4414/kepler-1279-b/,Super Earth,2016,3.71 Earths,1.75 x Earth,Unknown,23.5 days,0.0
1791,Kepler-127 b,1163.0,2.54 Earths,11.438,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5938/kepler-127-b/,Super Earth,2014,2.54 Earths,1.4 x Earth,0.125 AU,14.4 days,0.47
1792,Kepler-127 c,1163.0,7.56 Earths,11.438,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1538/kepler-127-c/,Neptune-like,2014,7.56 Earths,0.237 x Jupiter,0.2 AU,29.4 days,0.03
1793,Kepler-127 d,1163.0,7.46 Earths,11.438,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1539/kepler-127-d/,Neptune-like,2014,7.46 Earths,0.236 x Jupiter,0.28 AU,48.6 days,0.03
1794,Kepler-1280 b,3282.0,4.16 Earths,14.0,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4415/kepler-1280-b/,Super Earth,2016,4.16 Earths,1.87 x Earth,Unknown,66.6 days,0.0
1795,Kepler-1281 b,3556.0,3.33 Earths,15.997,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4416/kepler-1281-b/,Super Earth,2016,3.33 Earths,1.64 x Earth,Unknown,3.1 days,0.0
1796,Kepler-1282 b,3673.0,3.02 Earths,15.492,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4417/kepler-1282-b/,Super Earth,2016,3.02 Earths,1.55 x Earth,Unknown,2.1 days,0.0
1797,Kepler-1283 b,4736.0,4.31 Earths,15.07,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4418/kepler-1283-b/,Super Earth,2016,4.31 Earths,1.91 x Earth,Unknown,12.9 days,0.0
1798,Kepler-1284 b,2779.0,1.92 Earths,15.662,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4419/kepler-1284-b/,Super Earth,2016,1.92 Earths,1.21 x Earth,Unknown,0.7 days,0.0
1799,Kepler-1285 b,1187.0,0.871 Earths,11.65,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4420/kepler-1285-b/,Terrestrial,2016,0.871 Earths,0.97 x Earth,Unknown,14.8 days,0.0
1800,Kepler-1286 b,3751.0,5.27 Earths,15.142,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4421/kepler-1286-b/,Neptune-like,2016,5.27 Earths,2.15 x Earth,Unknown,11.3 days,0.0
1801,Kepler-1287 b,3350.0,2.99 Earths,15.007,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4422/kepler-1287-b/,Super Earth,2016,2.99 Earths,1.54 x Earth,Unknown,11.5 days,0.0
1802,Kepler-1288 b,2332.0,1.46 Earths,13.177,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4423/kepler-1288-b/,Super Earth,2016,1.46 Earths,1.12 x Earth,Unknown,2.8 days,0.0
1803,Kepler-1289 b,3454.0,2.92 Earths,14.599,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4424/kepler-1289-b/,Super Earth,2016,2.92 Earths,1.52 x Earth,Unknown,8 days,0.0
1804,Kepler-128 b,1308.0,0.77 Earths,11.289,2013,https://exoplanets.nasa.gov/exoplanet-catalog/1540/kepler-128-b/,Super Earth,2013,0.77 Earths,1.43 x Earth,0.1264 AU,15.1 days,0.0
1805,Kepler-128 c,1308.0,0.9 Earths,11.289,2013,https://exoplanets.nasa.gov/exoplanet-catalog/5939/kepler-128-c/,Super Earth,2013,0.9 Earths,1.34 x Earth,0.1664 AU,22.8 days,0.0
1806,Kepler-1290 b,4309.0,2.6 Earths,15.691,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4425/kepler-1290-b/,Super Earth,2016,2.6 Earths,1.42 x Earth,Unknown,4.7 days,0.0
1807,Kepler-1291 b,3203.0,3.39 Earths,15.883,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4426/kepler-1291-b/,Super Earth,2016,3.39 Earths,1.66 x Earth,Unknown,8.6 days,0.0
1808,Kepler-1292 b,4586.0,3.97 Earths,15.948,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4427/kepler-1292-b/,Super Earth,2016,3.97 Earths,1.82 x Earth,Unknown,3.3 days,0.0
1809,Kepler-1293 b,2512.0,0.871 Earths,13.3,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4428/kepler-1293-b/,Terrestrial,2016,0.871 Earths,0.97 x Earth,Unknown,5.6 days,0.0
1810,Kepler-1294 b,3653.0,10.3 Earths,15.15,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4429/kepler-1294-b/,Neptune-like,2016,10.3 Earths,0.285 x Jupiter,Unknown,115.7 days,0.0
1811,Kepler-1295 b,4100.0,3.02 Earths,15.908,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4430/kepler-1295-b/,Super Earth,2016,3.02 Earths,1.55 x Earth,Unknown,3.8 days,0.0
1812,Kepler-1296 b,2058.0,0.693 Earths,14.627,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4431/kepler-1296-b/,Terrestrial,2016,0.693 Earths,0.91 x Earth,Unknown,8.4 days,0.0
1813,Kepler-1297 b,3249.0,0.871 Earths,14.782,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4432/kepler-1297-b/,Terrestrial,2016,0.871 Earths,0.97 x Earth,Unknown,1.7 days,0.0
1814,Kepler-1298 b,1624.0,2.27 Earths,11.313,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4433/kepler-1298-b/,Super Earth,2016,2.27 Earths,1.31 x Earth,Unknown,7.1 days,0.0
1815,Kepler-1299 b,4410.0,9.17 Earths,15.9,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4434/kepler-1299-b/,Neptune-like,2016,9.17 Earths,0.266 x Jupiter,Unknown,19.9 days,0.0
1816,Kepler-129 b,1349.0,6.21 Earths,11.644,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1541/kepler-129-b/,Neptune-like,2014,6.21 Earths,0.211 x Jupiter,0.131 AU,15.8 days,0.01
1817,Kepler-129 c,1349.0,7.04 Earths,11.644,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1542/kepler-129-c/,Neptune-like,2014,7.04 Earths,0.227 x Jupiter,0.393 AU,82.2 days,0.2
1818,Kepler-12 b,2950.0,0.432 Jupiters,13.8,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1811/kepler-12-b/,Gas Giant,2011,0.432 Jupiters,1.754 x Jupiter,0.0553 AU,4.4 days,< 0.021
1819,Kepler-1300 b,2469.0,2.45 Earths,12.768,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4435/kepler-1300-b/,Super Earth,2016,2.45 Earths,1.37 x Earth,Unknown,22.2 days,0.0
1820,Kepler-1301 b,2662.0,2.54 Earths,15.373,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4436/kepler-1301-b/,Super Earth,2016,2.54 Earths,1.4 x Earth,Unknown,9.1 days,0.0
1821,Kepler-1302 b,2371.0,2.63 Earths,15.039,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4437/kepler-1302-b/,Super Earth,2016,2.63 Earths,1.43 x Earth,Unknown,8.8 days,0.0
1822,Kepler-1303 b,2952.0,2.6 Earths,14.616,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4438/kepler-1303-b/,Super Earth,2016,2.6 Earths,1.42 x Earth,Unknown,7.6 days,0.0
1823,Kepler-1304 b,2225.0,5.86 Earths,15.045,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4439/kepler-1304-b/,Neptune-like,2016,5.86 Earths,0.204 x Jupiter,Unknown,16.1 days,0.0
1824,Kepler-1305 b,4381.0,4.19 Earths,15.714,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4440/kepler-1305-b/,Super Earth,2016,4.19 Earths,1.88 x Earth,Unknown,13.6 days,0.0
1825,Kepler-1306 b,3686.0,4.31 Earths,15.212,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4441/kepler-1306-b/,Super Earth,2016,4.31 Earths,1.91 x Earth,Unknown,16.3 days,0.0
1826,Kepler-1307 b,4554.0,6.66 Earths,15.38,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4442/kepler-1307-b/,Neptune-like,2016,6.66 Earths,0.22 x Jupiter,Unknown,18 days,0.0
1827,Kepler-1308 b,238.0,0.0933 Earths,14.474,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4443/kepler-1308-b/,Terrestrial,2016,0.0933 Earths,0.52 x Earth,Unknown,2.1 days,0.0
1828,Kepler-1309 b,2756.0,6.21 Earths,16.187,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2618/kepler-1309-b/,Neptune-like,2016,6.21 Earths,0.211 x Jupiter,Unknown,28.8 days,0.0
1829,Kepler-130 b,1042.0,1.04 Earths,11.825,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1543/kepler-130-b/,Super Earth,2014,1.04 Earths,1.02 x Earth,0.079 AU,8.5 days,0.15
1830,Kepler-130 c,1042.0,8.75 Earths,11.825,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5940/kepler-130-c/,Neptune-like,2014,8.75 Earths,0.259 x Jupiter,0.178 AU,27.5 days,0.0
1831,Kepler-130 d,1042.0,3.33 Earths,11.825,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1544/kepler-130-d/,Super Earth,2014,3.33 Earths,1.64 x Earth,0.377 AU,87.5 days,0.8
1832,Kepler-1310 b,1902.0,2.67 Earths,14.122,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4444/kepler-1310-b/,Super Earth,2016,2.67 Earths,1.44 x Earth,Unknown,0.7 days,0.0
1833,Kepler-1311 b,2300.0,2.07 Earths,13.318,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4445/kepler-1311-b/,Super Earth,2016,2.07 Earths,1.24 x Earth,Unknown,11.2 days,0.0
1834,Kepler-1311 c,2300.0,1.98 Earths,13.318,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4446/kepler-1311-c/,Super Earth,2016,1.98 Earths,1.22 x Earth,Unknown,2.5 days,0.0
1835,Kepler-1312 b,995.0,5.06 Earths,12.378,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2622/kepler-1312-b/,Neptune-like,2016,5.06 Earths,2.1 x Earth,Unknown,5.4 days,0.0
1836,Kepler-1313 b,610.0,3.75 Earths,11.789,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4447/kepler-1313-b/,Super Earth,2016,3.75 Earths,1.76 x Earth,Unknown,3.8 days,0.0
1837,Kepler-1314 b,1507.0,22.9 Earths,17.121,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4448/kepler-1314-b/,Neptune-like,2016,22.9 Earths,0.456 x Jupiter,Unknown,5.4 days,0.0
1838,Kepler-1315 b,1647.0,2.48 Earths,14.952,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4450/kepler-1315-b/,Super Earth,2016,2.48 Earths,1.38 x Earth,Unknown,0.8 days,0.0
1839,Kepler-1316 b,2456.0,12.3 Earths,13.951,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4451/kepler-1316-b/,Neptune-like,2016,12.3 Earths,0.316 x Jupiter,Unknown,88 days,0.0
1840,Kepler-1317 b,2394.0,3.05 Earths,15.234,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2660/kepler-1317-b/,Super Earth,2016,3.05 Earths,1.56 x Earth,Unknown,0.6 days,0.0
1841,Kepler-1318 b,1549.0,9.85 Earths,15.242,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4452/kepler-1318-b/,Neptune-like,2016,9.85 Earths,0.277 x Jupiter,Unknown,213.3 days,0.0
1842,Kepler-1319 b,372.0,2.36 Earths,14.222,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4453/kepler-1319-b/,Super Earth,2016,2.36 Earths,1.34 x Earth,Unknown,2.9 days,0.33
1843,Kepler-131 b,751.0,16.13 Earths,11.49,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1545/kepler-131-b/,Super Earth,2014,16.13 Earths,0.215 x Jupiter,Unknown,16.1 days,0.0
1844,Kepler-131 c,751.0,8.25 Earths,11.49,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5941/kepler-131-c/,Super Earth,2014,8.25 Earths,0.84 x Earth,Unknown,25.5 days,0.0
1845,Kepler-1320 b,2515.0,3.53 Earths,15.905,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4454/kepler-1320-b/,Super Earth,2016,3.53 Earths,1.7 x Earth,Unknown,0.9 days,0.0
1846,Kepler-1321 b,1784.0,21.5 Earths,16.928,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4456/kepler-1321-b/,Neptune-like,2016,21.5 Earths,0.439 x Jupiter,Unknown,11.1 days,0.0
1847,Kepler-1321 c,1784.0,6.35 Earths,16.928,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2666/kepler-1321-c/,Neptune-like,2016,6.35 Earths,0.214 x Jupiter,Unknown,2.2 days,0.0
1848,Kepler-1322 b,3970.0,3.22 Earths,15.775,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4457/kepler-1322-b/,Super Earth,2016,3.22 Earths,1.61 x Earth,Unknown,1 days,0.0
1849,Kepler-1323 b,1729.0,2.92 Earths,12.344,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4458/kepler-1323-b/,Super Earth,2016,2.92 Earths,1.52 x Earth,Unknown,0.9 days,0.0
1850,Kepler-1324 b,1703.0,2.89 Earths,15.134,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4459/kepler-1324-b/,Super Earth,2016,2.89 Earths,1.51 x Earth,Unknown,4.1 days,0.0
1851,Kepler-1325 b,3115.0,8.55 Earths,15.129,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2670/kepler-1325-b/,Neptune-like,2016,8.55 Earths,0.255 x Jupiter,Unknown,33.9 days,0.0
1852,Kepler-1326 b,2968.0,16.3 Earths,12.741,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4460/kepler-1326-b/,Neptune-like,2016,16.3 Earths,0.373 x Jupiter,Unknown,42.4 days,0.0
1853,Kepler-1327 b,2244.0,3.89 Earths,13.884,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4461/kepler-1327-b/,Super Earth,2016,3.89 Earths,1.8 x Earth,Unknown,14.9 days,0.0
1854,Kepler-1328 b,2055.0,0.904 Earths,13.803,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4462/kepler-1328-b/,Terrestrial,2016,0.904 Earths,0.98 x Earth,Unknown,4.5 days,0.0
1855,Kepler-1329 b,2035.0,5.35 Earths,15.85,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4464/kepler-1329-b/,Neptune-like,2016,5.35 Earths,2.17 x Earth,Unknown,9.3 days,0.0
1856,Kepler-132 b,988.0,1.92 Earths,11.818,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1546/kepler-132-b/,Super Earth,2014,1.92 Earths,1.21 x Earth,0.067 AU,6.2 days,0.0
1857,Kepler-132 c,988.0,2.18 Earths,11.818,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5942/kepler-132-c/,Super Earth,2014,2.18 Earths,1.28 x Earth,0.068 AU,6.4 days,0.0
1858,Kepler-132 d,988.0,3.02 Earths,11.818,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1547/kepler-132-d/,Super Earth,2014,3.02 Earths,1.55 x Earth,0.136 AU,18 days,0.0
1859,Kepler-132 e,988.0,1.76 Earths,11.818,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5808/kepler-132-e/,Super Earth,2016,1.76 Earths,1.18 x Earth,Unknown,110.3 days,0.0
1860,Kepler-1330 b,3063.0,3.36 Earths,14.945,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2676/kepler-1330-b/,Super Earth,2016,3.36 Earths,1.65 x Earth,Unknown,10.1 days,0.0
1861,Kepler-1331 b,1191.0,1.16 Earths,15.032,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4465/kepler-1331-b/,Super Earth,2016,1.16 Earths,1.05 x Earth,Unknown,0.8 days,0.0
1862,Kepler-1332 b,1680.0,2.45 Earths,13.795,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4466/kepler-1332-b/,Super Earth,2016,2.45 Earths,1.37 x Earth,Unknown,11.9 days,0.0
1863,Kepler-1333 b,3125.0,8.3 Earths,15.171,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4467/kepler-1333-b/,Neptune-like,2016,8.3 Earths,0.251 x Jupiter,Unknown,109.6 days,0.0
1864,Kepler-1334 b,3415.0,5.86 Earths,15.171,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4468/kepler-1334-b/,Neptune-like,2016,5.86 Earths,0.204 x Jupiter,Unknown,15.6 days,0.0
1865,Kepler-1335 b,2049.0,2.7 Earths,15.304,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2681/kepler-1335-b/,Super Earth,2016,2.7 Earths,1.45 x Earth,Unknown,6.3 days,0.0
1866,Kepler-1336 b,2681.0,4.58 Earths,14.038,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4469/kepler-1336-b/,Super Earth,2016,4.58 Earths,1.98 x Earth,Unknown,23.2 days,0.0
1867,Kepler-1336 c,2681.0,3.57 Earths,14.038,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4470/kepler-1336-c/,Super Earth,2016,3.57 Earths,1.71 x Earth,Unknown,5.8 days,0.0
1868,Kepler-1337 b,1918.0,6.39 Earths,15.817,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4471/kepler-1337-b/,Neptune-like,2016,6.39 Earths,0.215 x Jupiter,Unknown,24.4 days,0.0
1869,Kepler-1338 b,2019.0,0.721 Earths,13.574,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2685/kepler-1338-b/,Terrestrial,2016,0.721 Earths,0.92 x Earth,Unknown,0.9 days,0.0
1870,Kepler-1339 b,871.0,0.285 Earths,12.123,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4472/kepler-1339-b/,Terrestrial,2016,0.285 Earths,0.71 x Earth,Unknown,1.3 days,0.0
1871,Kepler-133 b,2170.0,3.75 Earths,12.841,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1548/kepler-133-b/,Super Earth,2014,3.75 Earths,1.76 x Earth,0.083 AU,8.1 days,0.0
1872,Kepler-133 c,2170.0,8.45 Earths,12.841,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1549/kepler-133-c/,Neptune-like,2014,8.45 Earths,0.253 x Jupiter,0.204 AU,31.5 days,0.0
1873,Kepler-1340 b,4635.0,3.02 Earths,14.755,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4473/kepler-1340-b/,Super Earth,2016,3.02 Earths,1.55 x Earth,Unknown,0.7 days,0.0
1874,Kepler-1341 b,1520.0,9.22 Earths,15.018,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2688/kepler-1341-b/,Neptune-like,2016,9.22 Earths,0.267 x Jupiter,Unknown,133 days,0.0
1875,Kepler-1342 b,3070.0,3.39 Earths,15.383,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2689/kepler-1342-b/,Super Earth,2016,3.39 Earths,1.66 x Earth,Unknown,2.2 days,0.0
1876,Kepler-1343 b,4263.0,4.38 Earths,15.53,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2690/kepler-1343-b/,Super Earth,2016,4.38 Earths,1.93 x Earth,Unknown,3.4 days,0.0
1877,Kepler-1344 b,2776.0,4.04 Earths,14.027,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2723/kepler-1344-b/,Super Earth,2016,4.04 Earths,1.84 x Earth,Unknown,4.8 days,0.0
1878,Kepler-1345 b,3797.0,6.17 Earths,13.705,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2724/kepler-1345-b/,Neptune-like,2016,6.17 Earths,0.211 x Jupiter,Unknown,44.6 days,0.0
1879,Kepler-1346 b,3663.0,3.12 Earths,14.462,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2725/kepler-1346-b/,Super Earth,2016,3.12 Earths,1.58 x Earth,Unknown,3.4 days,0.0
1880,Kepler-1347 b,1047.0,1.08 Earths,13.412,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2726/kepler-1347-b/,Super Earth,2016,1.08 Earths,1.03 x Earth,Unknown,14 days,0.0
1881,Kepler-1348 b,3370.0,4.42 Earths,14.679,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2727/kepler-1348-b/,Super Earth,2016,4.42 Earths,1.94 x Earth,Unknown,27.6 days,0.0
1882,Kepler-1349 b,848.0,0.271 Earths,11.082,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2728/kepler-1349-b/,Terrestrial,2016,0.271 Earths,0.7 x Earth,Unknown,2.1 days,0.0
1883,Kepler-134 b,1103.0,4.66 Earths,12.222,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1550/kepler-134-b/,Super Earth,2014,4.66 Earths,2.0 x Earth,0.06 AU,5.3 days,0.0
1884,Kepler-134 c,1103.0,2.13 Earths,12.222,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5943/kepler-134-c/,Super Earth,2014,2.13 Earths,1.26 x Earth,0.092 AU,10.1 days,0.0
1885,Kepler-1350 b,1142.0,6.9 Earths,16.233,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2729/kepler-1350-b/,Neptune-like,2016,6.9 Earths,0.225 x Jupiter,Unknown,4.5 days,0.0
1886,Kepler-1350 c,1142.0,3.64 Earths,16.233,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2730/kepler-1350-c/,Super Earth,2016,3.64 Earths,1.73 x Earth,Unknown,1.8 days,0.0
1887,Kepler-1351 b,786.0,0.208 Earths,14.087,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2731/kepler-1351-b/,Terrestrial,2016,0.208 Earths,0.65 x Earth,Unknown,0.9 days,0.0
1888,Kepler-1352 b,2078.0,0.64 Earths,13.25,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2732/kepler-1352-b/,Terrestrial,2016,0.64 Earths,0.89 x Earth,Unknown,1.9 days,0.0
1889,Kepler-1353 b,1944.0,3.89 Earths,15.506,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2733/kepler-1353-b/,Super Earth,2016,3.89 Earths,1.8 x Earth,Unknown,24.8 days,0.0
1890,Kepler-1354 b,3448.0,9.11 Earths,14.369,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2734/kepler-1354-b/,Neptune-like,2016,9.11 Earths,0.265 x Jupiter,Unknown,76.6 days,0.0
1891,Kepler-1355 b,3141.0,2.73 Earths,15.452,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2735/kepler-1355-b/,Super Earth,2016,2.73 Earths,1.46 x Earth,Unknown,1.3 days,0.0
1892,Kepler-1356 b,2874.0,2.96 Earths,15.72,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2736/kepler-1356-b/,Super Earth,2016,2.96 Earths,1.53 x Earth,Unknown,0.6 days,0.0
1893,Kepler-1357 b,3347.0,2.18 Earths,15.22,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2737/kepler-1357-b/,Super Earth,2016,2.18 Earths,1.28 x Earth,Unknown,3 days,0.0
1894,Kepler-1358 b,1820.0,1.46 Earths,14.54,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2738/kepler-1358-b/,Super Earth,2016,1.46 Earths,1.12 x Earth,Unknown,7.1 days,0.0
1895,Kepler-1359 b,2182.0,8.4 Earths,15.753,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2739/kepler-1359-b/,Neptune-like,2016,8.4 Earths,0.252 x Jupiter,Unknown,59.5 days,0.0
1896,Kepler-135 b,2065.0,3.93 Earths,12.679,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1551/kepler-135-b/,Super Earth,2014,3.93 Earths,1.81 x Earth,0.067 AU,6 days,0.0
1897,Kepler-135 c,2065.0,1.65 Earths,12.679,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1552/kepler-135-c/,Super Earth,2014,1.65 Earths,1.16 x Earth,0.103 AU,11.4 days,0.0
1898,Kepler-1360 b,4583.0,11.5 Earths,13.88,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2740/kepler-1360-b/,Neptune-like,2016,11.5 Earths,0.303 x Jupiter,Unknown,40.5 days,0.0
1899,Kepler-1361 b,1318.0,0.566 Earths,13.917,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2741/kepler-1361-b/,Terrestrial,2016,0.566 Earths,0.86 x Earth,Unknown,3.6 days,0.0
1900,Kepler-1362 b,2502.0,7.27 Earths,15.825,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2742/kepler-1362-b/,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,Unknown,136.2 days,0.0
