,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,duplicate_discovery_data,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity
4014,SWEEPS-4 b,27727.0,3.8 Jupiters,18.8,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5053/sweeps-4-b/,Gas Giant,2006,3.8 Jupiters,0.81 x Jupiter,0.055 AU,4.2 days,0.0
4015,TAP 26 b,480.0,1.66 Jupiters,11.81,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7204/tap-26-b/,Gas Giant,2017,1.66 Jupiters,1.2 x Jupiter,0.0968 AU,10.8 days,0.0
4016,Tau Bootis b,51.0,5.95 Jupiters,4.5,1996,https://exoplanets.nasa.gov/exoplanet-catalog/7055/tau-bootis-b/,Gas Giant,1996,5.95 Jupiters,1.14 x Jupiter,0.049 AU,3.3 days,0.01
4017,Tau Ceti e,12.0,3.93 Earths,3.5,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7179/tau-ceti-e/,Super Earth,2017,3.93 Earths,1.81 x Earth,0.538 AU,162.9 days,0.18
4018,Tau Ceti f,12.0,3.93 Earths,3.5,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7180/tau-ceti-f/,Super Earth,2017,3.93 Earths,1.81 x Earth,1.334 AU,1.7 years,0.16
4019,Tau Ceti g,12.0,1.75 Earths,3.5,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7177/tau-ceti-g/,Super Earth,2017,1.75 Earths,1.18 x Earth,0.133 AU,20 days,0.06
4020,Tau Ceti h,12.0,1.83 Earths,3.5,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7178/tau-ceti-h/,Super Earth,2017,1.83 Earths,1.19 x Earth,0.243 AU,49.4 days,0.23
4021,Tau Geminorum b,367.0,20.6 Jupiters,4.42,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7056/tau-geminorum-b/,Gas Giant,2013,20.6 Jupiters,1.08 x Jupiter,1.17 AU,305.5 days,0.03
4022,TCP J05074264+2447555 b,1240.0,9.2 Earths,,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7336/tcp-j050742642447555-b/,Neptune-like,2018,9.2 Earths,0.266 x Jupiter,0.5 AU,258.2 days,0.0
4023,Teegarden's Star b,12.0,1.05 Earths,15.08,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7423/teegardens-star-b/,Super Earth,2019,1.05 Earths,1.02 x Earth,0.0252 AU,4.9 days,0.0
4024,Teegarden's Star c,12.0,1.11 Earths,15.08,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7424/teegardens-star-c/,Super Earth,2019,1.11 Earths,1.04 x Earth,0.0443 AU,11.4 days,0.0
4025,TOI-1130 b,190.0,12.9 Earths,11.368,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7606/toi-1130-b/,Neptune-like,2020,12.9 Earths,0.326 x Jupiter,0.04394 AU,4.1 days,0.22
4026,TOI-1130 c,190.0,0.974 Jupiters,11.368,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7607/toi-1130-c/,Gas Giant,2020,0.974 Jupiters,1.5 x Jupiter,0.07098 AU,8.4 days,0.05
4027,TOI-1235 b,129.0,6.91 Earths,11.495,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7630/toi-1235-b/,Super Earth,2020,6.91 Earths,1.738 x Earth,0.03845 AU,3.4 days,< 0.15
4028,TOI-125 b,363.0,9.5 Earths,10.892,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7563/toi-125-b/,Neptune-like,2019,9.5 Earths,0.243 x Jupiter,0.05186 AU,4.7 days,0.19
4029,TOI-125 c,363.0,6.63 Earths,10.892,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7565/toi-125-c/,Neptune-like,2019,6.63 Earths,0.246 x Jupiter,0.0814 AU,9.2 days,0.07
4030,TOI-125 d,363.0,13.6 Earths,10.892,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7587/toi-125-d/,Neptune-like,2020,13.6 Earths,0.261 x Jupiter,0.137 AU,20 days,0.17
4031,TOI-132 b,537.0,22.4 Earths,11.321,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7599/toi-132-b/,Neptune-like,2020,22.4 Earths,0.305 x Jupiter,0.026 AU,2.1 days,0.06
4032,TOI-1338 b,1317.0,33 Earths,11.72,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7626/toi-1338-b/,Neptune-like,2020,33 Earths,0.611 x Jupiter,0.4607 AU,95.2 days,0.09
4033,TOI-150.01,1096.0,2.51 Jupiters,11.341,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7579/toi-15001/,Gas Giant,2019,2.51 Jupiters,1.255 x Jupiter,0.07037 AU,5.9 days,0.26
4034,TOI-157 b,1181.0,1.18 Jupiters,12.73,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7662/toi-157-b/,Gas Giant,2020,1.18 Jupiters,1.286 x Jupiter,0.03138 AU,2.1 days,0.0
4035,TOI-163 b,1359.0,1.22 Jupiters,11.219,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7561/toi-163-b/,Gas Giant,2019,1.22 Jupiters,1.489 x Jupiter,0.058 AU,4.2 days,0.0
4036,TOI-169 b,1346.0,0.791 Jupiters,12.36,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7663/toi-169-b/,Gas Giant,2020,0.791 Jupiters,1.086 x Jupiter,0.03524 AU,2.3 days,0.0
4037,TOI-1728 b,198.0,26.78 Earths,12.4,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7646/toi-1728-b/,Neptune-like,2020,26.78 Earths,0.451 x Jupiter,0.0391 AU,3.5 days,0.06
4038,TOI-172 b,1098.0,5.42 Jupiters,11.193,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7559/toi-172-b/,Gas Giant,2019,5.42 Jupiters,0.965 x Jupiter,0.0914 AU,9.5 days,0.38
4039,TOI-1899 b,419.0,0.66 Jupiters,13.555,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7660/toi-1899-b/,Gas Giant,2020,0.66 Jupiters,1.37 x Jupiter,0.1587 AU,29 days,0.12
4040,TOI-216.01,583.0,0.62927 Jupiters,12.324,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7575/toi-21601/,Gas Giant,2019,0.62927 Jupiters,1.007 x Jupiter,0.2069 AU,34.6 days,0.03
4041,TOI-216.02,583.0,30 Earths,12.324,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7573/toi-21602/,Neptune-like,2019,30 Earths,0.686 x Jupiter,0.1293 AU,17.1 days,0.13
4042,TOI-270 b,73.0,2.09 Earths,12.62,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7567/toi-270-b/,Super Earth,2019,2.09 Earths,1.247 x Earth,0.0306 AU,3.4 days,0.0
4043,TOI-270 c,73.0,6.44 Earths,12.62,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7569/toi-270-c/,Neptune-like,2019,6.44 Earths,0.216 x Jupiter,0.0472 AU,5.7 days,0.0
4044,TOI-270 d,73.0,5.18 Earths,12.62,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7571/toi-270-d/,Neptune-like,2019,5.18 Earths,2.13 x Earth,0.0733 AU,11.4 days,0.0
4045,TOI-677 b,464.0,1.236 Jupiters,9.8,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7619/toi-677-b/,Gas Giant,2020,1.236 Jupiters,1.17 x Jupiter,0.1038 AU,11.2 days,0.44
4046,TOI-700 b,101.0,1.11 Earths,13.072,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7656/toi-700-b/,Super Earth,2020,1.11 Earths,1.037 x Earth,0.0677 AU,10 days,0.08
4047,TOI-700 c,101.0,7.51 Earths,13.072,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7657/toi-700-c/,Neptune-like,2020,7.51 Earths,0.236 x Jupiter,0.0929 AU,16.1 days,0.08
4048,TOI-700 d,101.0,1.57 Earths,13.072,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7658/toi-700-d/,Super Earth,2020,1.57 Earths,1.144 x Earth,0.1633 AU,37.4 days,0.11
4049,TOI-763 b,311.0,9.79 Earths,10.156,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7750/toi-763-b/,Super Earth,2020,9.79 Earths,0.203 x Jupiter,0.06 AU,5.6 days,0.04
4050,TOI-763 c,311.0,9.32 Earths,10.156,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7751/toi-763-c/,Neptune-like,2020,9.32 Earths,0.235 x Jupiter,0.1011 AU,12.3 days,0.04
4051,TOI-813 b,865.0,36.4 Earths,10.322,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7557/toi-813-b/,Neptune-like,2020,36.4 Earths,0.599 x Jupiter,0.423 AU,83.9 days,0.0
4052,TOI-824 b,208.0,18.467 Earths,11.153,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7752/toi-824-b/,Super Earth,2020,18.467 Earths,0.261 x Jupiter,0.02177 AU,1.4 days,0.0
